cloud-migration-specialist.md	cloud-migration-specialist	Cloud migration and infrastructure modernization specialist. Use PROACTIVELY for on-premise to cloud migrations, containerization, serverless adoption, and cloud-native transformations.	
code-reviewer.md	code-reviewer	Expert code review specialist for quality, security, and maintainability. Use PROACTIVELY after writing or modifying code to ensure high development standards.	
command-expert.md	command-expert	CLI command development specialist for the claude-code-templates system. Use PROACTIVELY for command design, argument parsing, task automation, and CLI best practices implementation.	
competitive-intelligence-analyst.md	competitive-intelligence-analyst	Competitive intelligence and market research specialist. Use PROACTIVELY for competitor analysis, market positioning research, industry trend analysis, business intelligence gathering, and strategic market insights.	
computer-vision-engineer.md	computer-vision-engineer	Computer vision and image processing specialist. Use PROACTIVELY for image analysis, object detection, face recognition, OCR implementation, and visual AI applications.	
connection-agent.md	connection-agent	Obsidian vault connection specialist. Use PROACTIVELY for analyzing and suggesting links between related content, identifying orphaned notes, and creating knowledge graph connections.	**Entity-Based Connections**: Find notes mentioning the same people, projects, or technologies; **Keyword Overlap Analysis**: Identify notes with similar terminology and concepts; **Orphaned Note Detection**: Find notes with no incoming or outgoing links; **Link Suggestion Generation**: Create actionable reports for manual curation; **Connection Pattern Analysis**: Identify clusters and potential knowledge gaps
content-curator.md	content-curator	Obsidian content curation and quality specialist. Use PROACTIVELY for identifying outdated content, suggesting content improvements, consolidating similar notes, and maintaining content quality standards.	**Content Quality Assessment**: Identify low-quality or outdated content; **Duplicate Detection**: Find and consolidate similar or redundant notes; **Content Enhancement**: Suggest improvements for incomplete notes; **Relevance Analysis**: Identify content that may need updates or archiving; **Knowledge Gap Identification**: Find areas where content is missing or sparse
context-manager.md	context-manager	Context management specialist for multi-agent workflows and long-running tasks. Use PROACTIVELY for complex projects, session coordination, and when context preservation is needed across multiple agents.	
data-analyst.md	data-analyst	Use this agent when you need quantitative analysis, statistical insights, or data-driven research. This includes analyzing numerical data, identifying trends, creating comparisons, evaluating metrics, and suggesting data visualizations. The agent excels at finding and interpreting data from statistical databases, research datasets, government sources, and market research. Examples: - <example> Context: The user wants to understand market trends in electric vehicle adoption. user: "What are the trends in electric vehicle sales over the past 5 years?" assistant: "I'll use the data-analyst agent to analyze EV sales data and identify trends." <commentary> Since the user is asking for trend analysis of numerical data over time, the data-analyst agent is perfect for finding sales statistics, calculating growth rates, and identifying patterns. </commentary> </example> - <example> Context: The user needs comparative analysis of different technologies. user: "Compare the performance metrics of different cloud providers" assistant: "Let me launch the data-analyst agent to gather and analyze performance benchmarks across cloud providers." <commentary> The user needs quantitative comparison of metrics, which requires the data-analyst agent to find benchmark data, create comparisons, and identify statistical differences. </commentary> </example> - <example> Context: After implementing a new feature, the user wants to analyze its impact. user: "We just launched the new recommendation system. Can you analyze its performance?" assistant: "I'll use the data-analyst agent to examine the performance metrics and identify any significant changes." <commentary> Performance analysis requires statistical evaluation of metrics, trend detection, and data quality assessment - all core capabilities of the data-analyst agent. </commentary> </example>	
data-engineer.md	data-engineer	Data pipeline and analytics infrastructure specialist. Use PROACTIVELY for ETL/ELT pipelines, data warehouses, streaming architectures, Spark optimization, and data platform design.	
data-scientist.md	data-scientist	Data analysis and statistical modeling specialist. Use PROACTIVELY for exploratory data analysis, statistical modeling, machine learning experiments, hypothesis testing, and predictive analytics.	
database-admin.md	database-admin	Database administration specialist for operations, backups, replication, and monitoring. Use PROACTIVELY for database setup, operational issues, user management, or disaster recovery procedures.	
database-architect.md	database-architect	Database architecture and design specialist. Use PROACTIVELY for database design decisions, data modeling, scalability planning, microservices data patterns, and database technology selection.	
database-optimization.md	database-optimization	Database performance optimization and query tuning specialist. Use PROACTIVELY for slow queries, indexing strategies, execution plan analysis, and database performance bottlenecks.	
database-optimizer.md	database-optimizer	SQL query optimization and database schema design specialist. Use PROACTIVELY for N+1 problems, slow queries, migration strategies, and implementing caching solutions.	
debugger.md	debugger	Debugging specialist for errors, test failures, and unexpected behavior. Use PROACTIVELY when encountering issues, analyzing stack traces, or investigating system problems.	
dependency-manager.md	dependency-manager	Use this agent to manage project dependencies. Specializes in dependency analysis, vulnerability scanning, and license compliance. Examples: <example>Context: A user wants to update all project dependencies. user: 'Please update all the dependencies in this project.' assistant: 'I will use the dependency-manager agent to safely update all dependencies and check for vulnerabilities.' <commentary>The dependency-manager is the right tool for dependency updates and analysis.</commentary></example> <example>Context: A user wants to check for security vulnerabilities in the dependencies. user: 'Are there any known vulnerabilities in our dependencies?' assistant: 'I'll use the dependency-manager to scan for vulnerabilities and suggest patches.' <commentary>The dependency-manager can scan for vulnerabilities and help with remediation.</commentary></example>	
deployment-engineer.md	deployment-engineer	CI/CD and deployment automation specialist. Use PROACTIVELY for pipeline configuration, Docker containers, Kubernetes deployments, GitHub Actions, and infrastructure automation workflows.	
devops-engineer.md	devops-engineer	DevOps and infrastructure specialist for CI/CD, deployment automation, and cloud operations. Use PROACTIVELY for pipeline setup, infrastructure provisioning, monitoring, security implementation, and deployment optimization.	
devops-troubleshooter.md	devops-troubleshooter	Production troubleshooting and incident response specialist. Use PROACTIVELY for debugging issues, log analysis, deployment failures, monitoring setup, and root cause analysis.	
docker-health-optimizer.md	docker-health-optimizer	Use this agent when you need to verify Docker installation health, validate container configurations, analyze performance metrics, or propose optimization improvements for Docker environments. Examples: <example> Context: User wants to ensure Docker Compose stacks are running optimally. user: "Can you check if our Docker setup is healthy and performing well?" assistant: "I'll use the docker-health-optimizer agent to perform a comprehensive health check and performance analysis of your Docker environment." <agent call to docker-health-optimizer with task: "Perform comprehensive Docker health check including container status, resource usage, network configuration, and volume management. Analyze performance metrics and provide optimization recommendations."> </example> <example> Context: User is experiencing slow container startup times. user: "The containers are taking too long to start. Can you investigate?" assistant: "Let me use the docker-health-optimizer agent to diagnose the startup performance issues." <agent call to docker-health-optimizer with task: "Investigate slow container startup times. Check image sizes, layer caching, resource limits, volume mount performance, and network configuration. Provide specific optimization recommendations."> </example> <example> Context: User wants to validate Docker Compose configurations before deployment. user: "I've updated the docker-compose files. Can you verify they're configured correctly?" assistant: "I'll use the docker-health-optimizer agent to validate your Docker Compose configurations." <agent call to docker-health-optimizer with task: "Validate all Docker Compose files in tools/compose/, tools/monitoring/, frontend/compose/, and ai/compose/. Check for syntax errors, best practices, resource limits, network configurations, and security concerns. Ensure alignment with project standards from CLAUDE.md."> </example> <example> Context: Proactive monitoring - Agent detects high memory usage in containers. assistant: "I notice some containers are using excessive memory. Let me use the docker-health-optimizer agent to analyze this." <agent call to docker-health-optimizer with task: "Analyze container memory usage patterns. Identify memory-intensive containers, check for memory leaks, validate memory limits, and recommend optimization strategies."> </example>	**Health Verification**; Inspect Docker daemon status and version compatibility; Validate container states (running, stopped, exited, unhealthy); Check Docker Compose stack integrity across all project stacks; Verify volume mounts, network configurations, and port bindings
document-structure-analyzer.md	document-structure-analyzer	Document structure analysis specialist. Use PROACTIVELY for identifying document layouts, analyzing content hierarchy, and mapping visual elements to semantic structure before OCR processing.	
documentation-expert.md	documentation-expert	Use this agent to create, improve, and maintain project documentation. Specializes in technical writing, documentation standards, and generating documentation from code. Examples: <example>Context: A user wants to add documentation to a new feature. user: 'Please help me document this new API endpoint.' assistant: 'I will use the documentation-expert to generate clear and concise documentation for your API.' <commentary>The documentation-expert is the right choice for creating high-quality technical documentation.</commentary></example> <example>Context: The project's documentation is outdated. user: 'Can you help me update our README file?' assistant: 'I'll use the documentation-expert to review and update the README with the latest information.' <commentary>The documentation-expert can help improve existing documentation.</commentary></example>	
docusaurus-expert.md	docusaurus-expert	Docusaurus documentation specialist. Use PROACTIVELY when working with Docusaurus documentation for site configuration, content management, theming, build troubleshooting, and deployment setup.	
error-detective.md	error-detective	Log analysis and error pattern detection specialist. Use PROACTIVELY for debugging issues, analyzing logs, investigating production errors, and identifying system anomalies.	
fact-checker.md	fact-checker	Fact verification and source validation specialist. Use PROACTIVELY for claim verification, source credibility assessment, misinformation detection, citation validation, and information accuracy analysis.	
frontend-developer.md	frontend-developer	Frontend development specialist for React applications and responsive design. Use PROACTIVELY for UI components, state management, performance optimization, accessibility implementation, and modern frontend architecture.	
fullstack-developer.md	fullstack-developer	Full-stack development specialist covering frontend, backend, and database technologies. Use PROACTIVELY for end-to-end application development, API integration, database design, and complete feature implementation.	
git-flow-manager.md	git-flow-manager	Git Flow workflow manager. Use PROACTIVELY for Git Flow operations including branch creation, merging, validation, release management, and pull request generation. Handles feature, release, and hotfix branches.	### 1. Branch Creation and Validation; When creating branches:; **Validate branch names** follow Git Flow conventions:; `feature/descriptive-name`; `release/vX.Y.Z`
graphql-architect.md	graphql-architect	GraphQL schema design and API architecture specialist. Use PROACTIVELY for GraphQL schema design, resolver optimization, federation, performance issues, and subscription implementation.	
graphql-performance-optimizer.md	graphql-performance-optimizer	GraphQL performance analysis and optimization specialist. Use PROACTIVELY for query performance issues, N+1 problems, caching strategies, and production GraphQL API optimization.	
graphql-security-specialist.md	graphql-security-specialist	GraphQL API security and authorization specialist. Use PROACTIVELY for GraphQL security audits, authorization implementation, query validation, and protection against GraphQL-specific attacks.	
hackathon-ai-strategist.md	hackathon-ai-strategist	Expert hackathon strategist and judge. Use PROACTIVELY for AI hackathon ideation, project evaluation, feasibility assessment, and presentation strategies. Specializes in winning concepts within time constraints.	
javascript-pro.md	javascript-pro	Master modern JavaScript with ES6+, async patterns, and Node.js APIs. Handles promises, event loops, and browser/Node compatibility. Use PROACTIVELY for JavaScript optimization, async debugging, or complex JS patterns.	
legacy-modernizer.md	legacy-modernizer	Refactor legacy codebases, migrate outdated frameworks, and implement gradual modernization. Handles technical debt, dependency updates, and backward compatibility. Use PROACTIVELY for legacy system updates, framework migrations, or technical debt reduction.	
llms-maintainer.md	llms-maintainer	LLMs.txt roadmap file generator and maintainer. Use PROACTIVELY after build completion, content changes, or when implementing AEO (AI Engine Optimization). Scans site structure and updates AI crawler navigation.	
load-testing-specialist.md	load-testing-specialist	Load testing and stress testing specialist. Use PROACTIVELY for creating comprehensive load test scenarios, analyzing performance under stress, and identifying system bottlenecks and capacity limits.	
markdown-syntax-formatter.md	markdown-syntax-formatter	Markdown formatting specialist. Use PROACTIVELY for converting text to proper markdown syntax, fixing formatting issues, and ensuring consistent document structure.	
mcp-deployment-orchestrator.md	mcp-deployment-orchestrator	MCP server deployment and operations specialist. Use PROACTIVELY for containerization, Kubernetes deployments, autoscaling, monitoring, security hardening, and production operations.	### 1. Containerization & Reproducibility; You excel at packaging MCP servers using multi-stage Docker builds that minimize attack surface and image size. You will:; Create optimized Dockerfiles with clear separation of build and runtime stages; Implement image signing and generate Software Bills of Materials (SBOMs); Configure continuous vulnerability scanning in CI/CD pipelines
mcp-expert.md	mcp-expert	Model Context Protocol (MCP) integration specialist for the cli-tool components system. Use PROACTIVELY for MCP server configurations, protocol specifications, and integration patterns.	
mcp-integration-engineer.md	mcp-integration-engineer	MCP server integration and orchestration specialist. Use PROACTIVELY for client-server integration, multi-server orchestration, workflow automation, and system architecture design.	
mcp-protocol-specialist.md	mcp-protocol-specialist	MCP protocol specification and standards specialist. Use PROACTIVELY for protocol design, specification compliance, transport implementation, and maintaining standards across the ecosystem.	
mcp-registry-navigator.md	mcp-registry-navigator	MCP registry discovery and integration specialist. Use PROACTIVELY for finding servers, evaluating capabilities, generating configurations, and publishing to registries.	### Registry Ecosystem Mastery; You maintain comprehensive knowledge of all MCP registries:; **Official Registries**: mcp.so, GitHub's modelcontextprotocol/registry, Speakeasy MCP Hub, mcpmarket.com; **Enterprise Registries**: Azure API Center, Windows MCP Registry, private corporate registries; **Community Resources**: GitHub repositories, npm packages, PyPI distributions
mcp-security-auditor.md	mcp-security-auditor	MCP server security specialist. Use PROACTIVELY for security reviews, OAuth implementation, RBAC design, compliance frameworks, and vulnerability assessment.	### Authorization & Authentication; You ensure all MCP servers implement OAuth 2.1 with PKCE (Proof Key for Code Exchange) and support dynamic client registration; You validate implementations of both authorization code and client credentials flows, ensuring they follow RFC specifications; You verify Origin header validation and confirm local bindings are restricted to localhost when using Streamable HTTP; You enforce short-lived access tokens (15-30 minutes) with refresh token rotation and secure storage practices
mcp-server-architect.md	mcp-server-architect	MCP server architecture and implementation specialist. Use PROACTIVELY for designing servers, implementing transport layers, tool definitions, completion support, and protocol compliance.	
mcp-testing-engineer.md	mcp-testing-engineer	MCP server testing and quality assurance specialist. Use PROACTIVELY for protocol compliance, security testing, performance evaluation, and debugging MCP implementations.	### 1. Schema & Protocol Validation; You will rigorously validate MCP servers against the official specification:; Use MCP Inspector to validate JSON Schema for tools, resources, prompts, and completions; Verify correct handling of JSON-RPC batching and proper error responses; Test Streamable HTTP semantics including SSE fallback mechanisms
metadata-agent.md	metadata-agent	Obsidian metadata management specialist. Use PROACTIVELY for frontmatter standardization, metadata addition, and ensuring consistent file metadata across the vault.	**Add Standardized Frontmatter**: Add frontmatter to any markdown files missing it; **Extract Creation Dates**: Get creation dates from filesystem metadata; **Generate Tags**: Create tags based on directory structure and content; **Determine File Types**: Assign appropriate type (note, reference, moc, etc.); **Maintain Consistency**: Ensure all metadata follows vault standards
ml-engineer.md	ml-engineer	ML production systems and model deployment specialist. Use PROACTIVELY for ML pipelines, model serving, feature engineering, A/B testing, monitoring, and production ML infrastructure.	
mlops-engineer.md	mlops-engineer	ML infrastructure and operations specialist. Use PROACTIVELY for ML pipelines, experiment tracking, model registries, automated retraining, data versioning, and MLOps platform implementation.	
mobile-developer.md	mobile-developer	Cross-platform mobile development specialist for React Native and Flutter. Use PROACTIVELY for mobile applications, native integrations, offline sync, push notifications, and cross-platform optimization.	
moc-agent.md	moc-agent	Obsidian Map of Content specialist. Use PROACTIVELY for identifying and generating missing MOCs, organizing orphaned assets, and maintaining navigation structure.	**Identify Missing MOCs**: Find directories without proper Maps of Content; **Generate New MOCs**: Create MOCs using established templates; **Organize Orphaned Images**: Create gallery notes for unlinked visual assets; **Update Existing MOCs**: Keep MOCs current with new content; **Maintain MOC Network**: Ensure MOCs link to each other appropriately
model-evaluator.md	model-evaluator	AI model evaluation and benchmarking specialist. Use PROACTIVELY for model selection, performance comparison, cost analysis, and evaluation metric design. Expert in LLM capabilities and limitations.	
monitoring-specialist.md	monitoring-specialist	Monitoring and observability infrastructure specialist. Use PROACTIVELY for metrics collection, alerting systems, log aggregation, distributed tracing, SLA monitoring, and performance dashboards.	
network-engineer.md	network-engineer	Network connectivity and infrastructure specialist. Use PROACTIVELY for debugging network issues, load balancer configuration, DNS resolution, SSL/TLS setup, CDN optimization, and traffic analysis.	
nextjs-architecture-expert.md	nextjs-architecture-expert	Master of Next.js best practices, App Router, Server Components, and performance optimization. Use PROACTIVELY for Next.js architecture decisions, migration strategies, and framework optimization.	
nlp-engineer.md	nlp-engineer	Natural Language Processing and text analytics specialist. Use PROACTIVELY for text processing, language models, sentiment analysis, named entity recognition, text classification, and conversational AI systems.	
nosql-specialist.md	nosql-specialist	NoSQL database specialist for MongoDB, Redis, Cassandra, and document/key-value stores. Use PROACTIVELY for schema design, data modeling, performance optimization, and NoSQL architecture decisions.	
ocr-grammar-fixer.md	ocr-grammar-fixer	OCR text correction specialist. Use PROACTIVELY for cleaning up and correcting OCR-processed text, fixing character recognition errors, and ensuring proper grammar while maintaining original meaning.	
ocr-preprocessing-optimizer.md	ocr-preprocessing-optimizer	OCR preprocessing and image optimization specialist. Use PROACTIVELY for image enhancement, noise reduction, skew correction, and optimizing image quality for maximum OCR accuracy.	
ocr-quality-assurance.md	ocr-quality-assurance	OCR pipeline validation specialist. Use PROACTIVELY for final review and validation of OCR-corrected text against original sources, ensuring accuracy and completeness in the correction pipeline.	
performance-engineer.md	performance-engineer	Profile applications, optimize bottlenecks, and implement caching strategies. Handles load testing, CDN setup, and query optimization. Use PROACTIVELY for performance issues or optimization tasks.	
performance-profiler.md	performance-profiler	Performance analysis and optimization specialist. Use PROACTIVELY for performance bottlenecks, memory leaks, load testing, optimization strategies, and system performance monitoring.	
prompt-engineer.md	prompt-engineer	Expert prompt optimization for LLMs and AI systems. Use PROACTIVELY when building AI features, improving agent performance, or crafting system prompts. Masters prompt patterns and techniques.	
python-pro.md	python-pro	Write idiomatic Python code with advanced features like decorators, generators, and async/await. Optimizes performance, implements design patterns, and ensures comprehensive testing. Use PROACTIVELY for Python refactoring, optimization, or complex Python features.	
quant-analyst.md	quant-analyst	Quantitative finance and algorithmic trading specialist. Use PROACTIVELY for financial modeling, trading strategy development, backtesting, risk analysis, and portfolio optimization.	
query-clarifier.md	query-clarifier	Use this agent when you need to analyze research queries for clarity and determine if user clarification is needed before proceeding with research. This agent should be invoked at the beginning of research workflows to ensure queries are specific and actionable. Examples: <example>Context: The user has created a query-clarifier agent to analyze research queries for clarity. user: "Tell me about AI" assistant: "I'll use the query-clarifier agent to analyze this query for clarity and determine if we need more specific information." <commentary>Since the query is quite broad and could refer to many aspects of AI, the query-clarifier agent should analyze it and likely request clarification about which specific aspect of AI the user is interested in.</commentary></example> <example>Context: The user has created a query-clarifier agent to ensure research queries are actionable. user: "Compare the performance of different sorting algorithms in terms of time complexity" assistant: "Let me analyze this query with the query-clarifier agent to ensure it's clear and specific enough for research." <commentary>This query is relatively clear but the agent should still analyze it to confirm no clarification is needed before proceeding with the research.</commentary></example>	
rag-analyzer.md	rag-analyzer	Use this agent when you need to analyze, validate, or manage RAG (Retrieval-Augmented Generation) systems, including: evaluating ingested file installations and configurations, controlling file ingestion processes, assessing document chunking strategies, monitoring vector store health, validating embedding quality, or troubleshooting RAG pipeline issues. Examples: <example> Context: User has just set up a new RAG system and wants to validate the configuration. user: "I've finished setting up the RAG system with the documentation files. Can you check if everything is configured correctly?" assistant: "I'm going to use the rag-analyzer agent to perform a comprehensive validation of your RAG setup." <use Agent tool to launch rag-analyzer> </example> <example> Context: User is experiencing issues with file ingestion in their RAG pipeline. user: "Some PDF files aren't being ingested properly into the vector database. Can you help me figure out what's wrong?" assistant: "Let me use the rag-analyzer agent to diagnose the ingestion issues and identify the root cause." <use Agent tool to launch rag-analyzer> </example> <example> Context: Proactive monitoring after code changes to documentation. user: "I've just updated several markdown files in the docs/ directory." assistant: "Since documentation files were modified, I should proactively use the rag-analyzer agent to ensure the RAG system is aware of these changes and suggest re-ingestion if needed." <use Agent tool to launch rag-analyzer> </example> <example> Context: User wants to optimize their RAG system performance. user: "The RAG responses seem slow and sometimes irrelevant. How can I improve this?" assistant: "I'll use the rag-analyzer agent to analyze your RAG configuration, embedding quality, and retrieval performance to provide optimization recommendations." <use Agent tool to launch rag-analyzer> </example>	**Installation & Configuration Analysis**; Validate RAG system setup (vector stores, embedding models, chunking strategies); Verify file ingestion pipeline configurations; Check compatibility between components (embeddings, vector DB, retrieval methods); Identify configuration issues and recommend corrections
react-performance-optimization.md	react-performance-optimization	React performance optimization specialist. Use PROACTIVELY for identifying and fixing performance bottlenecks, bundle optimization, rendering optimization, and memory leak resolution.	
react-performance-optimizer.md	react-performance-optimizer	Specialist in React performance patterns, bundle optimization, and Core Web Vitals. Use PROACTIVELY for React app performance tuning, rendering optimization, and production performance monitoring.	
report-generator.md	report-generator	Use this agent when you need to transform synthesized research findings into a comprehensive, well-structured final report. This agent excels at creating readable narratives from complex research data, organizing content logically, and ensuring proper citation formatting. It should be used after research has been completed and findings have been synthesized, as the final step in the research process. Examples: <example>Context: The user has completed research on climate change impacts and needs a final report. user: 'I've gathered all this research on climate change effects on coastal cities. Can you create a comprehensive report?' assistant: 'I'll use the report-generator agent to create a well-structured report from your research findings.' <commentary>Since the user has completed research and needs it transformed into a final report, use the report-generator agent to create a comprehensive, properly formatted document.</commentary></example> <example>Context: Multiple research threads have been synthesized and need to be presented cohesively. user: 'We have findings from 5 different researchers on AI safety. Need a unified report.' assistant: 'Let me use the report-generator agent to create a cohesive report that integrates all the research findings.' <commentary>The user needs multiple research streams combined into a single comprehensive report, which is exactly what the report-generator agent is designed for.</commentary></example>	
research-brief-generator.md	research-brief-generator	Use this agent when you need to transform a user's research query into a structured, actionable research brief that will guide subsequent research activities. This agent takes clarified queries and converts them into comprehensive research plans with specific questions, keywords, source preferences, and success criteria. <example>Context: The user has asked a research question that needs to be structured into a formal research brief. user: "I want to understand the impact of AI on healthcare diagnostics" assistant: "I'll use the research-brief-generator agent to transform this query into a structured research brief that will guide our research." <commentary>Since we need to create a structured research plan from the user's query, use the research-brief-generator agent to break down the question into specific sub-questions, identify keywords, and define research parameters.</commentary></example><example>Context: After query clarification, we need to create a research framework. user: "How are quantum computers being used in drug discovery?" assistant: "Let me use the research-brief-generator agent to create a comprehensive research brief for investigating quantum computing applications in drug discovery." <commentary>The query needs to be transformed into a structured brief with specific research questions and parameters, so use the research-brief-generator agent.</commentary></example>	
research-coordinator.md	research-coordinator	Use this agent when you need to strategically plan and coordinate complex research tasks across multiple specialist researchers. This agent analyzes research requirements, allocates tasks to appropriate specialists, and defines iteration strategies for comprehensive coverage. <example>Context: The user has asked for a comprehensive analysis of quantum computing applications in healthcare. user: "I need a thorough research report on how quantum computing is being applied in healthcare, including current implementations, future potential, and technical challenges" assistant: "I'll use the research-coordinator agent to plan this complex research task across our specialist researchers" <commentary>Since this requires coordinating multiple aspects (technical, medical, current applications), use the research-coordinator to strategically allocate tasks to different specialist researchers.</commentary></example> <example>Context: The user wants to understand the economic impact of AI on job markets. user: "Research the economic impact of AI on job markets, including statistical data, expert opinions, and case studies" assistant: "Let me engage the research-coordinator agent to organize this multi-faceted research project" <commentary>This requires coordination between data analysis, academic research, and current news, making the research-coordinator ideal for planning the research strategy.</commentary></example>	
research-orchestrator.md	research-orchestrator	Use this agent when you need to coordinate a comprehensive research project that requires multiple specialized agents working in sequence. This agent manages the entire research workflow from initial query clarification through final report generation. <example>Context: User wants to conduct thorough research on a complex topic. user: "I need to research the impact of quantum computing on cryptography" assistant: "I'll use the research-orchestrator agent to coordinate a comprehensive research project on this topic" <commentary>Since this is a complex research request requiring multiple phases and specialized agents, the research-orchestrator will manage the entire workflow.</commentary></example> <example>Context: User has a vague research request that needs clarification and systematic investigation. user: "Tell me about AI safety" assistant: "Let me use the research-orchestrator to coordinate a structured research process on AI safety" <commentary>The broad nature of this query requires orchestration of multiple research phases, making the research-orchestrator the appropriate choice.</commentary></example>	
research-synthesizer.md	research-synthesizer	Use this agent when you need to consolidate and synthesize findings from multiple research sources or specialist researchers into a unified, comprehensive analysis. This agent excels at merging diverse perspectives, identifying patterns across sources, highlighting contradictions, and creating structured insights that preserve the complexity and nuance of the original research while making it more accessible and actionable. <example>Context: The user has multiple researchers (academic, web, technical, data) who have completed their individual research on climate change impacts. user: "I have research findings from multiple specialists on climate change. Can you synthesize these into a coherent analysis?" assistant: "I'll use the research-synthesizer agent to consolidate all the findings from your specialists into a comprehensive synthesis." <commentary>Since the user has multiple research outputs that need to be merged into a unified analysis, use the research-synthesizer agent to create a structured synthesis that preserves all perspectives while identifying themes and contradictions.</commentary></example> <example>Context: The user has gathered various research reports on AI safety from different sources and needs them consolidated. user: "Here are 5 different research reports on AI safety. I need a unified view of what they're saying." assistant: "Let me use the research-synthesizer agent to analyze and consolidate these reports into a comprehensive synthesis." <commentary>The user needs multiple research reports merged into a single coherent view, which is exactly what the research-synthesizer agent is designed for.</commentary></example>	
review-agent.md	review-agent	Obsidian vault quality assurance specialist. Use PROACTIVELY for cross-checking enhancement work, validating consistency, and ensuring quality across the vault.	**Review Generated Reports**: Validate output from other agents; **Verify Metadata Consistency**: Check frontmatter standards compliance; **Validate Link Quality**: Ensure suggested connections make sense; **Check Tag Standardization**: Verify taxonomy adherence; **Assess MOC Completeness**: Ensure MOCs properly organize content
script-specialist.md	script-specialist	Use this agent when the user needs to work with project automation scripts, troubleshoot script execution issues, or wants to understand how to use the available shell scripts. This agent should be proactively launched in the following scenarios: <example> Context: User is experiencing issues with service startup and mentions errors with containers or services not starting. user: "The dashboard won't start, I'm getting port conflicts" assistant: "Let me use the script-specialist agent to diagnose and resolve this issue." <task_tool_invocation> Launching script-specialist to analyze service startup issues and recommend solutions using the appropriate startup scripts. </task_tool_invocation> </example> <example> Context: User wants to check system health or validate environment configuration. user: "How can I verify that all services are running correctly?" assistant: "I'll use the script-specialist agent to guide you through the health check process." <task_tool_invocation> Launching script-specialist to execute health checks and validate system state using available maintenance scripts. </task_tool_invocation> </example> <example> Context: User is setting up the project for the first time or after a fresh clone. user: "I just cloned the repo, what do I need to do to get started?" assistant: "Let me use the script-specialist agent to guide you through the initial setup." <task_tool_invocation> Launching script-specialist to orchestrate installation and initialization using install-shortcuts.sh and startup scripts. </task_tool_invocation> </example> <example> Context: User mentions Docker containers, service orchestration, or stack management. user: "I need to restart all the Docker stacks" assistant: "I'll use the script-specialist agent to handle the Docker stack restart." <task_tool_invocation> Launching script-specialist to safely restart Docker stacks using the appropriate compose management scripts. </task_tool_invocation> </example> <example> Context: User is experiencing environment variable issues or configuration problems. user: "Some services can't find the database credentials" assistant: "Let me use the script-specialist agent to validate environment configuration." <task_tool_invocation> Launching script-specialist to check environment variable setup and validate against project requirements. </task_tool_invocation> </example>	
search-specialist.md	search-specialist	Expert web researcher using advanced search techniques and synthesis. Masters search operators, result filtering, and multi-source verification. Handles competitive analysis and fact-checking. Use PROACTIVELY for deep research, information gathering, or trend analysis.	
social-media-clip-creator.md	social-media-clip-creator	Social media video clip optimization specialist. Use PROACTIVELY for creating platform-specific clips with proper aspect ratios, subtitles, thumbnails, and encoding optimization.	
sql-pro.md	sql-pro	Write complex SQL queries, optimize execution plans, and design normalized schemas. Masters CTEs, window functions, and stored procedures. Use PROACTIVELY for query optimization, complex joins, or database design.	
